,stop_id,alightings,boardings,location
110,147,31.7,4.8,"{'type': 'Point', 'coordinates': [-87.75967824, 41.87664899]}"
111,148,90.9,13.4,"{'type': 'Point', 'coordinates': [-87.76154549, 41.87661212]}"
112,149,191.3,15.9,"{'type': 'Point', 'coordinates': [-87.76459825, 41.87660365]}"
113,150,17.7,1.5,"{'type': 'Point', 'coordinates': [-87.76801292, 41.87716981]}"
114,151,6.8,0.1,"{'type': 'Point', 'coordinates': [-87.76974453, 41.8771099]}"
115,152,5.2,0.2,"{'type': 'Point', 'coordinates': [-87.7713027, 41.87723809]}"
116,153,0.8,174.2,"{'type': 'Point', 'coordinates': [-87.76479999, 41.872683]}"
117,154,1.9,43.4,"{'type': 'Point', 'coordinates': [-87.761654, 41.872803]}"
118,155,1.3,10.4,"{'type': 'Point', 'coordinates': [-87.759367, 41.8729]}"
119,156,10.8,35.6,"{'type': 'Point', 'coordinates': [-87.75752, 41.872855]}"
120,157,19.1,96.9,"{'type': 'Point', 'coordinates': [-87.75449102, 41.87288253]}"
121,158,14.6,67.2,"{'type': 'Point', 'coordinates': [-87.75318511, 41.87289309]}"
122,159,13.1,29.7,"{'type': 'Point', 'coordinates': [-87.74920832, 41.87300185]}"
123,160,64.2,136.5,"{'type': 'Point', 'coordinates': [-87.74514556, 41.87306462]}"
124,161,4.5,13.6,"{'type': 'Point', 'coordinates': [-87.742661, 41.873099]}"
125,162,1.6,3.5,"{'type': 'Point', 'coordinates': [-87.740893, 41.873198]}"
126,163,5.5,5.5,"{'type': 'Point', 'coordinates': [-87.739488, 41.873205]}"
127,164,9.3,8.8,"{'type': 'Point', 'coordinates': [-87.73794849, 41.87321343]}"
128,165,15.1,27.6,"{'type': 'Point', 'coordinates': [-87.73549587, 41.87376435]}"
129,166,19.0,33.7,"{'type': 'Point', 'coordinates': [-87.735223, 41.871629]}"
130,167,5.8,12.2,"{'type': 'Point', 'coordinates': [-87.73495185, 41.87026275]}"
131,168,8.6,20.4,"{'type': 'Point', 'coordinates': [-87.73270091, 41.87089987]}"
132,169,11.9,15.3,"{'type': 'Point', 'coordinates': [-87.730102, 41.8716]}"
133,170,12.9,11.0,"{'type': 'Point', 'coordinates': [-87.727603, 41.872297]}"
134,171,97.0,102.4,"{'type': 'Point', 'coordinates': [-87.72557064, 41.87289549]}"
135,172,8.1,12.5,"{'type': 'Point', 'coordinates': [-87.723087, 41.873419]}"
136,174,32.8,50.6,"{'type': 'Point', 'coordinates': [-87.719565, 41.873457]}"
137,175,19.2,11.2,"{'type': 'Point', 'coordinates': [-87.718216, 41.873469]}"
138,177,9.5,7.5,"{'type': 'Point', 'coordinates': [-87.713327, 41.873541]}"
139,178,89.9,78.6,"{'type': 'Point', 'coordinates': [-87.71088, 41.873566]}"
140,179,5.1,2.8,"{'type': 'Point', 'coordinates': [-87.708461, 41.873602]}"
141,181,14.5,16.6,"{'type': 'Point', 'coordinates': [-87.70351379, 41.87365176]}"
142,182,84.5,64.2,"{'type': 'Point', 'coordinates': [-87.70104879, 41.87368976]}"
143,183,30.6,18.7,"{'type': 'Point', 'coordinates': [-87.698661, 41.873716]}"
144,185,10.3,43.4,"{'type': 'Point', 'coordinates': [-87.693779, 41.873755]}"
145,186,5.9,8.1,"{'type': 'Point', 'coordinates': [-87.690705, 41.873785]}"
146,187,11.2,9.7,"{'type': 'Point', 'coordinates': [-87.688797, 41.873804]}"
147,188,80.5,83.0,"{'type': 'Point', 'coordinates': [-87.686408, 41.87382334]}"
148,189,13.6,38.8,"{'type': 'Point', 'coordinates': [-87.683913, 41.873882]}"
149,190,5.8,19.2,"{'type': 'Point', 'coordinates': [-87.681449, 41.873911]}"
150,191,6.8,11.1,"{'type': 'Point', 'coordinates': [-87.67899, 41.87395]}"
151,192,69.2,42.3,"{'type': 'Point', 'coordinates': [-87.67659224, 41.87397341]}"
152,193,121.3,104.4,"{'type': 'Point', 'coordinates': [-87.6667937, 41.87410558]}"
153,194,3.5,32.9,"{'type': 'Point', 'coordinates': [-87.664252, 41.874122]}"
154,195,11.4,64.6,"{'type': 'Point', 'coordinates': [-87.661926, 41.874138]}"
155,196,4.7,12.4,"{'type': 'Point', 'coordinates': [-87.660176, 41.874142]}"
156,197,3.9,3.3,"{'type': 'Point', 'coordinates': [-87.658412, 41.874128]}"
157,198,70.1,62.0,"{'type': 'Point', 'coordinates': [-87.657167, 41.874191]}"
158,199,24.1,26.7,"{'type': 'Point', 'coordinates': [-87.654349, 41.874231]}"
159,200,352.9,266.2,"{'type': 'Point', 'coordinates': [-87.651938, 41.874283]}"
160,201,239.2,311.6,"{'type': 'Point', 'coordinates': [-87.649132, 41.874341]}"
161,202,642.4,226.3,"{'type': 'Point', 'coordinates': [-87.6470399, 41.87474629]}"
162,203,76.4,109.4,"{'type': 'Point', 'coordinates': [-87.647117, 41.876549]}"
163,204,225.9,234.8,"{'type': 'Point', 'coordinates': [-87.647165, 41.877832]}"
164,205,210.9,625.2,"{'type': 'Point', 'coordinates': [-87.647254, 41.8755]}"
165,206,575.3,414.8,"{'type': 'Point', 'coordinates': [-87.64775, 41.874441]}"
166,207,237.3,231.7,"{'type': 'Point', 'coordinates': [-87.64986281, 41.87447761]}"
167,208,195.0,367.2,"{'type': 'Point', 'coordinates': [-87.651583, 41.874463]}"
168,209,18.3,23.0,"{'type': 'Point', 'coordinates': [-87.65445, 41.874376]}"
169,210,74.1,87.1,"{'type': 'Point', 'coordinates': [-87.657447, 41.87433]}"
170,211,4.9,2.3,"{'type': 'Point', 'coordinates': [-87.658436, 41.87432]}"
171,212,7.7,3.2,"{'type': 'Point', 'coordinates': [-87.660199, 41.874335]}"
172,213,59.4,15.6,"{'type': 'Point', 'coordinates': [-87.661608, 41.874271]}"
173,214,31.1,4.2,"{'type': 'Point', 'coordinates': [-87.66414, 41.874251]}"
174,215,112.0,105.4,"{'type': 'Point', 'coordinates': [-87.66636841, 41.87427625]}"
175,216,11.8,8.6,"{'type': 'Point', 'coordinates': [-87.678729, 41.874037]}"
176,217,21.7,8.1,"{'type': 'Point', 'coordinates': [-87.681205, 41.874009]}"
177,218,46.6,13.9,"{'type': 'Point', 'coordinates': [-87.68358895, 41.87398752]}"
178,219,109.1,85.9,"{'type': 'Point', 'coordinates': [-87.68600523, 41.87396137]}"
179,220,14.4,10.7,"{'type': 'Point', 'coordinates': [-87.688543, 41.873922]}"
180,221,9.8,4.7,"{'type': 'Point', 'coordinates': [-87.690493, 41.873913]}"
181,222,75.5,10.4,"{'type': 'Point', 'coordinates': [-87.693579, 41.87385]}"
182,223,71.1,56.5,"{'type': 'Point', 'coordinates': [-87.69597837, 41.87385973]}"
183,224,18.8,7.9,"{'type': 'Point', 'coordinates': [-87.698405, 41.873809]}"
184,225,84.6,107.8,"{'type': 'Point', 'coordinates': [-87.70085097, 41.87385863]}"
185,226,18.7,15.7,"{'type': 'Point', 'coordinates': [-87.70329197, 41.87382263]}"
186,227,89.1,49.5,"{'type': 'Point', 'coordinates': [-87.70571896, 41.8737524]}"
187,228,32.6,48.7,"{'type': 'Point', 'coordinates': [-87.70608349, 41.87496738]}"
188,229,1.9,1.9,"{'type': 'Point', 'coordinates': [-87.70823931, 41.87460174]}"
189,230,85.3,85.2,"{'type': 'Point', 'coordinates': [-87.71053731, 41.87459474]}"
190,231,7.9,8.6,"{'type': 'Point', 'coordinates': [-87.71239028, 41.87437666]}"
191,233,50.3,52.2,"{'type': 'Point', 'coordinates': [-87.71790509, 41.87452996]}"
192,5392,121.0,62.6,"{'type': 'Point', 'coordinates': [-87.628508, 41.903055]}"
193,234,56.5,27.6,"{'type': 'Point', 'coordinates': [-87.71961417, 41.87450949]}"
194,235,17.8,7.9,"{'type': 'Point', 'coordinates': [-87.722588, 41.874496]}"
195,237,9.3,3.6,"{'type': 'Point', 'coordinates': [-87.72774701, 41.87439868]}"
196,239,37.6,7.6,"{'type': 'Point', 'coordinates': [-87.73270301, 41.87434644]}"
197,240,83.5,15.5,"{'type': 'Point', 'coordinates': [-87.73569932, 41.87377475]}"
198,241,9.8,4.7,"{'type': 'Point', 'coordinates': [-87.73746946, 41.87334431]}"
199,242,8.2,3.8,"{'type': 'Point', 'coordinates': [-87.73913875, 41.87330223]}"
200,243,4.1,1.3,"{'type': 'Point', 'coordinates': [-87.74082431, 41.87324864]}"
201,244,38.6,3.8,"{'type': 'Point', 'coordinates': [-87.7424164, 41.87319817]}"
202,246,38.3,33.7,"{'type': 'Point', 'coordinates': [-87.74898757, 41.87307396]}"
203,247,116.5,54.8,"{'type': 'Point', 'coordinates': [-87.75320123, 41.87305352]}"
204,248,94.5,97.0,"{'type': 'Point', 'coordinates': [-87.75465067, 41.8730184]}"
205,249,40.9,5.4,"{'type': 'Point', 'coordinates': [-87.75730323, 41.87295351]}"
206,250,11.3,2.0,"{'type': 'Point', 'coordinates': [-87.75948024, 41.87295262]}"
207,252,193.6,3.2,"{'type': 'Point', 'coordinates': [-87.76447722, 41.87292396]}"
208,257,1.6,6.1,"{'type': 'Point', 'coordinates': [-87.76277284, 41.86555077]}"
209,258,3.2,7.1,"{'type': 'Point', 'coordinates': [-87.75945922, 41.86559297]}"
210,259,3.9,25.9,"{'type': 'Point', 'coordinates': [-87.75705277, 41.86564938]}"
211,260,3.6,22.0,"{'type': 'Point', 'coordinates': [-87.75467392, 41.86564859]}"
212,261,5.0,17.1,"{'type': 'Point', 'coordinates': [-87.75213825, 41.86573504]}"
213,262,7.1,29.5,"{'type': 'Point', 'coordinates': [-87.74975926, 41.86574977]}"
214,263,21.6,13.8,"{'type': 'Point', 'coordinates': [-87.74732747, 41.86578791]}"
215,265,1.5,8.7,"{'type': 'Point', 'coordinates': [-87.74241065, 41.86585838]}"
